brewery,beer_name,style,abv_percent,ibu,global_rating,checkin_date,location,your_rating,your_notes,beer_url,checkin_url
Nøgne Ø,Fatøl,Lager - Vienna,4.7,17,3.34498,2025-07-23T16:18:34+00:00,Untappd at Home,3.5,,https://untappd.com/b/nogne-o-fatol/5748320,https://untappd.com/user/Semelenge/checkin/1498725319
Frydenlund Bryggerier,Juicy IPA,IPA - New England / Hazy,4.6,,3.3893,2025-07-23T16:17:37+00:00,Untappd at Home,2.75,,https://untappd.com/b/frydenlund-bryggerier-juicy-ipa/3668048,https://untappd.com/user/Semelenge/checkin/1498725027
Frydenlund Bryggerier,Fatøl,Lager - Vienna,4.5,19,3.34311,2025-07-23T16:17:14+00:00,Untappd at Home,2.75,,https://untappd.com/b/frydenlund-bryggerier-fatol/1532148,https://untappd.com/user/Semelenge/checkin/1498724913
Oslo Brewing Company,Nordic Pilsner,Pilsner - Other,4.7,18,3.19936,2025-07-23T16:15:29+00:00,Untappd at Home,3,,https://untappd.com/b/oslo-brewing-company-nordic-pilsner/1963106,https://untappd.com/user/Semelenge/checkin/1498724382
Cruzcampo,Cruzcampo Gran Reserva,Pilsner - Imperial / Double,6.4,25,3.14878,2025-07-13T13:46:59+00:00,Untappd at Home,2.75,,https://untappd.com/b/cruzcampo-cruzcampo-gran-reserva/15683,https://untappd.com/user/Semelenge/checkin/1495932808
Cruzcampo,Cruzcampo Pilsen,Pilsner - Other,4.8,20,2.91084,2025-07-12T19:34:55+00:00,Untappd at Home,2.75,,https://untappd.com/b/cruzcampo-cruzcampo-pilsen/399207,https://untappd.com/user/Semelenge/checkin/1495671790
Heineken España,El Águila Sin Filtrar,Kellerbier / Zwickelbier - Kellerpils,5.5,,3.1883,2025-07-11T19:23:58+00:00,Untappd at Home,3.25,,https://untappd.com/b/heineken-espana-el-aguila-sin-filtrar/3129119,https://untappd.com/user/Semelenge/checkin/1495204952
Grupo Mahou-San Miguel,San Miguel Especial,Lager - Pale,4.5,25,3.16413,2025-07-11T19:22:14+00:00,Untappd at Home,3.25,,https://untappd.com/b/grupo-mahou-san-miguel-san-miguel-especial/4535855,https://untappd.com/user/Semelenge/checkin/1495203850
Brouwerij Mort Subite,Lambic Kriek,Lambic - Kriek,4,,3.5095,2025-07-10T13:20:39+00:00,Untappd at Home,4.25,,https://untappd.com/b/brouwerij-mort-subite-kriek-lambic/27073,https://untappd.com/user/Semelenge/checkin/1494795888
Kaapse Brouwers,Kaapse Klaas Winter Ale,Winter Ale,10.9,46,3.46514,2025-06-27T18:50:19+00:00,Untappd at Home,3.75,,https://untappd.com/b/kaapse-brouwers-kaapse-klaas-winter-ale/875367,https://untappd.com/user/Semelenge/checkin/1491202853
Pivovar Rychtář,Rychtář Premium,Pilsner - Czech / Bohemian,5,30,3.14311,2025-06-14T14:33:38+00:00,Untappd at Home,3,,https://untappd.com/b/pivovar-rychtar-rychtar-premium/301434,https://untappd.com/user/Semelenge/checkin/1487545176
Abbaye de Maredsous,Maredsous Triple / Tripel,Belgian Tripel,10,20,3.71273,2025-05-02T22:04:20+00:00,Untappd at Home,2,,https://untappd.com/b/abbaye-de-maredsous-maredsous-triple-tripel/7768,https://untappd.com/user/Semelenge/checkin/1475903330
